case_id,title,correlation_type,status,source,result_summary
17,"18_100754_ General 1946-7_Vol_2",meteor_fireball,fetched,"NASA/JPL CNEOS Fireball API","NASA/JPL CNEOS Fireball API: no located fireballs in +/-1 day global window."
18,18_6369445_General_1948_Vol_1,meteor_fireball,fetched,"NASA/JPL CNEOS Fireball API","NASA/JPL CNEOS Fireball API: no located fireballs in +/-1 day global window."
20,"NASA-UAP-D3, Gemini 7 Transcript, 1965",meteor_fireball,fetched,"NASA/JPL CNEOS Fireball API","NASA/JPL CNEOS Fireball API: no located fireballs in +/-1 day global window."
21,"NASA-UAP-D3A, Gemini 7 Audio Excerpt, 1965",meteor_fireball,fetched,"NASA/JPL CNEOS Fireball API","NASA/JPL CNEOS Fireball API: no located fireballs in +/-1 day global window."
22,"331_120752_Numeric_Files_1944–1945_37153_German_Armament_Equipment_Documents",meteor_fireball,fetched,"NASA/JPL CNEOS Fireball API","NASA/JPL CNEOS Fireball API: no located fireballs in +/-1 day global window."
23,341_110448_Records_Relating_to_the_Collection_and_Dissemination_of_Intelligence_1948-1955-TS_CONT_No.2_2-5300-2-5399,meteor_fireball,fetched,"NASA/JPL CNEOS Fireball API","NASA/JPL CNEOS Fireball API: no located fireballs in +/-1 day global window."
24,"341_110677_Numerical_File,_5-2500",meteor_fireball,fetched,"NASA/JPL CNEOS Fireball API","NASA/JPL CNEOS Fireball API: no located fireballs in +/-1 day global window."
25,"342_HS1-416511228_319.1 Flying Discs 1949",meteor_fireball,fetched,"NASA/JPL CNEOS Fireball API","NASA/JPL CNEOS Fireball API: no located fireballs in +/-1 day global window."
29,"59_214434_SP 16 [7.18.1963]",meteor_fireball,fetched,"NASA/JPL CNEOS Fireball API","NASA/JPL CNEOS Fireball API: no located fireballs in +/-1 day global window."
30,59_64634_711.5612[7-2852,meteor_fireball,fetched,"NASA/JPL CNEOS Fireball API","NASA/JPL CNEOS Fireball API: no located fireballs in +/-1 day global window."
31,65_HS1-101634279_100-DE-18221_Serial_844,meteor_fireball,fetched,"NASA/JPL CNEOS Fireball API","NASA/JPL CNEOS Fireball API: no located fireballs in +/-1 day global window."
32,65_HS1-101634279_100-DE-26505,meteor_fireball,fetched,"NASA/JPL CNEOS Fireball API","NASA/JPL CNEOS Fireball API: no located fireballs in +/-1 day global window."
35,"DOW-UAP-D10, Mission Report, Middle East, May 2022",meteor_fireball,fetched,"NASA/JPL CNEOS Fireball API","NASA/JPL CNEOS Fireball API: no located fireballs in +/-1 day global window."
36,"DOW-UAP-D12, Mission Report, Iraq, May 2022",meteor_fireball,fetched,"NASA/JPL CNEOS Fireball API","NASA/JPL CNEOS Fireball API: no located fireballs in +/-1 day global window."
37,"DOW-UAP-D14, Mission Report, Iraq, May 2022",meteor_fireball,fetched,"NASA/JPL CNEOS Fireball API","NASA/JPL CNEOS Fireball API: no located fireballs in +/-1 day global window."
38,"DOW-UAP-D16, Mission Report, Syria, July 2022",meteor_fireball,fetched,"NASA/JPL CNEOS Fireball API","NASA/JPL CNEOS Fireball API: no located fireballs in +/-1 day global window."
39,"DOW-UAP-D18, Mission Report, Iraq, December 2022",meteor_fireball,fetched,"NASA/JPL CNEOS Fireball API","NASA/JPL CNEOS Fireball API: no located fireballs in +/-1 day global window."
40,"DOW-UAP-D19, Mission Report, Syria, February 21, 2023",meteor_fireball,fetched,"NASA/JPL CNEOS Fireball API","NASA/JPL CNEOS Fireball API: no located fireballs in +/-1 day global window."
41,"DOW-UAP-D20, Mission Report, Iraq, 2023",meteor_fireball,fetched,"NASA/JPL CNEOS Fireball API","NASA/JPL CNEOS Fireball API: no located fireballs in +/-1 day global window."
42,"DOW-UAP-D23, Mission Report, United Arab Emirates, October 2023",meteor_fireball,fetched,"NASA/JPL CNEOS Fireball API","NASA/JPL CNEOS Fireball API: 1 located fireball(s) in +/-1 day global window. Examples: 2023-10-30 07:22:55 lat=42.9 lon=44.7"
43,"DOW-UAP-D23, Mission Report, United Arab Emirates, October 2023",meteor_fireball,fetched,"NASA/JPL CNEOS Fireball API","NASA/JPL CNEOS Fireball API: 1 located fireball(s) in +/-1 day global window. Examples: 2023-10-30 07:22:55 lat=42.9 lon=44.7"
44,"DOW-UAP-D25, Mission Report, Greece, January 2024",meteor_fireball,fetched,"NASA/JPL CNEOS Fireball API","NASA/JPL CNEOS Fireball API: no located fireballs in +/-1 day global window."
45,"DOW-UAP-D27, Mission Report, United Arab Emirates, October 2023",meteor_fireball,fetched,"NASA/JPL CNEOS Fireball API","NASA/JPL CNEOS Fireball API: no located fireballs in +/-1 day global window."
46,"DOW-UAP-D28, Mission Report, Iraq, September 2024",meteor_fireball,fetched,"NASA/JPL CNEOS Fireball API","NASA/JPL CNEOS Fireball API: no located fireballs in +/-1 day global window."
48,"DOW-UAP-D32, Mission Report, Syria, October 2024",meteor_fireball,fetched,"NASA/JPL CNEOS Fireball API","NASA/JPL CNEOS Fireball API: no located fireballs in +/-1 day global window."
49,"DOW-UAP-D32, Mission Report, Syria, October 2024",meteor_fireball,fetched,"NASA/JPL CNEOS Fireball API","NASA/JPL CNEOS Fireball API: no located fireballs in +/-1 day global window."
50,"DOW-UAP-D32, Mission Report, Syria, October 2024",meteor_fireball,fetched,"NASA/JPL CNEOS Fireball API","NASA/JPL CNEOS Fireball API: no located fireballs in +/-1 day global window."
