corroboration_id,case_id,feature_key,claim_count,page_count,direct_claim_count,possible_independent_count,source_pages_json,representative_quotes_json,machine_corroboration_score,status
73,22,color_brightness:red,6,4,3,0,"[7, 9, 15, 16]","[""THR | OBJECT wAS | __ ATTACKED AND | PARTTATIY DEFLATED 35 _COMMA A RED."", ""Object was &btauked ane partially deflated, a red flame resulted without smoke."", ""observed large red light at 2000 ft."", ""observed 5 or 6 flashing red and green lights in \""I shape, Thought they were flak."", ""considerable distance and at approximately 10,000 ft.W hath Night of 23-24 December 1944 - \""Approximately 10 miles South of Point x (Q6745) noticed to NH spproximately 5 miles a glowing red object shooting straight up.""]",1.0,machine_correlated_needs_human_review
74,22,shape:light,21,5,6,0,"[12, 14, 15, 16, 17]","[""Reference to your 3rd Indorsement on the subject of night phenomenon originated by the 425th Wight Pighter Squadron, there is ne information at this Headouarters which might explain the nature and cause of’ the Lights and other phenomena described by"", ""The following is quoted from training and tactical information supplied by the 415th Night Fighter Squadron for cna the month of December 1944; \""We have encountered a phenomenon which we cannot explain; crews have been followed by lights that blink o"", ""The lights come very close and fly formation with our planes."", ""Before an investigation can be made it will be necessary to have | more complete information, such as colors of the lights, “their intensity, | size, duration, and at what altitudes seen; also if the lights are observed at any specific hours."", ""Do subject lights cross Allied lines and in what direction are they seen to travel?""]",1.0,machine_correlated_needs_human_review
72,22,shape:object,7,5,0,0,"[3, 6, 7, 9, 16]","[""‘ Reference your letter dated 12 March asking that — ' photoes be furnished as mentioned in our Signal -.1.580 argted\\4 March, this office has sines been inform3d by HQe IX TAC, That the pictures of \""Long cylindrical objects\"" claime?"", ""ie | ih iy j Sp 5 - ps ~ 6 FPN Ed fe ) =H MARI945 | | Ce 3 RR Sto ales Y Sap \\0\"" a Me DISTRIBUTION 7 SSR a i a |v | | , | ) aN FROMs HQ IX TAC @511@2A TOs AIR STAFF SeHeAeEeFe FORWARD | -SEGREF QQY BT REFERENCE YOUR MESSAGE AI«329 DATED @41745A% PHOT"", ""MNTH 5 _TAC AIR COMMAND | DATED 1 MARCH QUOTE PILOTS | REPORT FOLLOWING} AN ALUMINUM 10 | \""COLOURED | CYLINDER ____ SHAPED OBJECT | C@MMA ABOUT 12 | FEET LONG © 15 _AND 1 FOOT IN..."", ""THR | OBJECT wAS | __ ATTACKED AND | PARTTATIY DEFLATED 35 _COMMA A RED."", ""An aluminum colored cylinder shéped object, about le ft long and 1 ft in diameter was observea floating in the &6ir at G,000 ft.""]",1.0,machine_correlated_needs_human_review
78,22,color_brightness:orange,1,1,1,0,[16],"["", Nyght of 14-15 January 1945 - \""Observed a large orange flow in sky approx.""]",0.45,weak_machine_group
75,22,color_brightness:white,1,1,1,0,[16],"[""Noticed several groups of lights off port while patrolling in vicinity of Q-9050 and R-1556 Lights made distinct lines somewhat like arrows,\"" , Night of 26-27 December 1944-- \""Vihile on vector 090 near V-7050 during patrol we observed airborne white ""]",0.45,weak_machine_group
76,22,motion:stationary,1,1,1,0,[16],"[""They appeared stationary at 10,000 ft.\"" Nyght of 26-27 December 1944 - \""Observed light at same altitude while in vicinity of Worms Observer saw light come within 100 ft.""]",0.45,weak_machine_group
77,22,motion:moving,1,1,0,0,[16],"[""Light then pulled up rapidly and went out of sight.\"" 4 N ght of 27-28 December 1944 - \""While on North heading in patrol area noticed in vicinity of Q-1378 lights suspended if air moving slowly and would then disappear.""]",0.25,weak_machine_group
93,25,color_brightness:bright,5,4,1,0,"[56, 80, 115, 141]","[""SHAN, taxicab driver, Arrow Cab, Kodiak, Alaska, stated that he was enroute from the Enlisted wens Club to the Administration Building on 8 April 1949, when he sew a strange bright blue object streak across the sky at approximately 2035 hours."", ""To SHAW, the object appoared to disintegrate as bright particles flew from the object as it passed beyond Nyman Peninsula."", ""Ge GENERAL REMARKSs (1) At 02508, bright object sighted sw ef Ft Knox, Kentueky by weather observers."", ""Source is the 1805th AACS Group, located in Newfoundland; New- foundland Base Command has already been notified: \""OBSERVED ONE EIGHT ZERO TWO TWO ZEBRA JAN FOUR NINE WAS UNIDENTIFIED OBJECT FLYING OVER INDIAN HOUSE LAKE CANADA PD BRIGHT LIGHTS WAS EM"", ""It seemed to be a bright flaming orange object and illuminated the sky momentarily behind it.""]",1.0,machine_correlated_needs_human_review
81,25,color_brightness:hot,3,3,2,0,"[5, 6, 104]","[""“one observed (1) Siaes Not applicable (2) Ghape: %ct applicable (3) Looations fot applicable 186, Air Ducts: Wot observed &e- Slote: ct applicable be Duct openings: Hot applicable 17, Speed - MPH: High rate of speed 18."", ""Was any radio anternma to be observed; Yone noted 20, Warmer of disappearances Cisappeared inte overcast & Uxpleode: “ot applicable (1) Possibility eof fragments: Hot applicable (2) Other physical evidence: ‘ot applicable Be."", ""Pare 2 FEI Project \""STGn (3) Clock position of object from observer's aircraft: Not applicable (A) Latitude and longitude: Wot applicable c, Sea: (1) Latitude and loneitude: Hot applicable (2) Proximity to land} (‘ame city, countrv; etc) Wot a pplica""]",1.0,machine_correlated_needs_human_review
84,25,color_brightness:white,8,7,0,1,"[26, 29, 85, 92, 97, 105, 140]","[""ey + « ® «ar oe SUBJECT: Unidentified Plying Yb jects Captain Thrush, the pilot of a Northwest Airline Mertin 202, reported that while epproaching Portland from the east he noticed what appeared tobe an aircraft displaying two ved lights and one whit"", ""Clark reported the surface seemed to be between a light gray and a dirty white with no markings or diffusion of colors (S) Speeds Paster than an FP=-5]."", ""According to the observation taken by Yasuo Miyamoto, a member of thisstation, a glow appeared in the direction of east-south-east and at a point of medium altitude above horizon, which moved sending out palish white light toward a point in the direc"", ""Stoney, the object appeared to be a large round piece of flat white cardboard, oscillating continually."", ""Stoney stated that the object seemed to be extremely white on the underside, while the topside portion of the object seemed to have a dark, non-reflecting surface.""]",1.0,machine_correlated_needs_human_review
