request_id,case_id,field_needed,reason,priority,status
819,156,exact_event_date,"Current date precision is vague_period; needed for astronomy/ADS-B/weather.",10,open
820,156,narrow_event_location_or_coordinates,"Current location precision is broad_region; needed for ADS-B/satellite/weather.",10,open
829,161,exact_event_date,"Current date precision is year; needed for astronomy/ADS-B/weather.",10,open
830,161,narrow_event_location_or_coordinates,"Current location precision is broad_region; needed for ADS-B/satellite/weather.",10,open
416,1,event_time_or_time_window,"Needed for ADS-B, satellite passes, Venus/Moon altitude, and military activity checks.",5,open
414,1,exact_event_date,"Current date precision is missing; needed for astronomy/ADS-B/weather.",5,open
415,1,narrow_event_location_or_coordinates,"Current location precision is missing; needed for ADS-B/satellite/weather.",5,open
419,2,event_time_or_time_window,"Needed for ADS-B, satellite passes, Venus/Moon altitude, and military activity checks.",5,open
417,2,exact_event_date,"Current date precision is missing; needed for astronomy/ADS-B/weather.",5,open
418,2,narrow_event_location_or_coordinates,"Current location precision is missing; needed for ADS-B/satellite/weather.",5,open
422,3,event_time_or_time_window,"Needed for ADS-B, satellite passes, Venus/Moon altitude, and military activity checks.",5,open
420,3,exact_event_date,"Current date precision is missing; needed for astronomy/ADS-B/weather.",5,open
421,3,narrow_event_location_or_coordinates,"Current location precision is missing; needed for ADS-B/satellite/weather.",5,open
425,4,event_time_or_time_window,"Needed for ADS-B, satellite passes, Venus/Moon altitude, and military activity checks.",5,open
423,4,exact_event_date,"Current date precision is missing; needed for astronomy/ADS-B/weather.",5,open
424,4,narrow_event_location_or_coordinates,"Current location precision is missing; needed for ADS-B/satellite/weather.",5,open
428,5,event_time_or_time_window,"Needed for ADS-B, satellite passes, Venus/Moon altitude, and military activity checks.",5,open
426,5,exact_event_date,"Current date precision is missing; needed for astronomy/ADS-B/weather.",5,open
427,5,narrow_event_location_or_coordinates,"Current location precision is missing; needed for ADS-B/satellite/weather.",5,open
431,6,event_time_or_time_window,"Needed for ADS-B, satellite passes, Venus/Moon altitude, and military activity checks.",5,open
429,6,exact_event_date,"Current date precision is missing; needed for astronomy/ADS-B/weather.",5,open
430,6,narrow_event_location_or_coordinates,"Current location precision is missing; needed for ADS-B/satellite/weather.",5,open
434,7,event_time_or_time_window,"Needed for ADS-B, satellite passes, Venus/Moon altitude, and military activity checks.",5,open
432,7,exact_event_date,"Current date precision is missing; needed for astronomy/ADS-B/weather.",5,open
433,7,narrow_event_location_or_coordinates,"Current location precision is missing; needed for ADS-B/satellite/weather.",5,open
437,8,event_time_or_time_window,"Needed for ADS-B, satellite passes, Venus/Moon altitude, and military activity checks.",5,open
435,8,exact_event_date,"Current date precision is missing; needed for astronomy/ADS-B/weather.",5,open
436,8,narrow_event_location_or_coordinates,"Current location precision is missing; needed for ADS-B/satellite/weather.",5,open
440,9,event_time_or_time_window,"Needed for ADS-B, satellite passes, Venus/Moon altitude, and military activity checks.",5,open
438,9,exact_event_date,"Current date precision is missing; needed for astronomy/ADS-B/weather.",5,open
439,9,narrow_event_location_or_coordinates,"Current location precision is missing; needed for ADS-B/satellite/weather.",5,open
443,10,event_time_or_time_window,"Needed for ADS-B, satellite passes, Venus/Moon altitude, and military activity checks.",5,open
441,10,exact_event_date,"Current date precision is missing; needed for astronomy/ADS-B/weather.",5,open
442,10,narrow_event_location_or_coordinates,"Current location precision is missing; needed for ADS-B/satellite/weather.",5,open
446,11,event_time_or_time_window,"Needed for ADS-B, satellite passes, Venus/Moon altitude, and military activity checks.",5,open
444,11,exact_event_date,"Current date precision is missing; needed for astronomy/ADS-B/weather.",5,open
445,11,narrow_event_location_or_coordinates,"Current location precision is missing; needed for ADS-B/satellite/weather.",5,open
449,12,event_time_or_time_window,"Needed for ADS-B, satellite passes, Venus/Moon altitude, and military activity checks.",5,open
447,12,exact_event_date,"Current date precision is missing; needed for astronomy/ADS-B/weather.",5,open
448,12,narrow_event_location_or_coordinates,"Current location precision is missing; needed for ADS-B/satellite/weather.",5,open
452,13,event_time_or_time_window,"Needed for ADS-B, satellite passes, Venus/Moon altitude, and military activity checks.",5,open
450,13,exact_event_date,"Current date precision is missing; needed for astronomy/ADS-B/weather.",5,open
451,13,narrow_event_location_or_coordinates,"Current location precision is missing; needed for ADS-B/satellite/weather.",5,open
455,14,event_time_or_time_window,"Needed for ADS-B, satellite passes, Venus/Moon altitude, and military activity checks.",5,open
453,14,exact_event_date,"Current date precision is missing; needed for astronomy/ADS-B/weather.",5,open
454,14,narrow_event_location_or_coordinates,"Current location precision is missing; needed for ADS-B/satellite/weather.",5,open
